Code	StockOnHand	Count
"6041502"	0	""
"6015541"	0	""
"6015558"	0	""
"6015565"	0	""
"6075163"	0	""
"601295"	0	""
"601294"	145	""
"6081744"	0	""
"6084875"	0	""
"6084882"	0	""
"601292"	28	""
"6084868"	0	""
"6084899"	0	""
"6085575"	0	""
"600070"	0	""
"6085612"	0	""
"6085605"	0	""
"6085599"	0	""
"6016913"	0	""
"6085582"	0	""
"6016616"	0	""
"6083366"	0	""
"6022631"	8	""
"6085735"	68	""
"6079468"	68	""
"6051952"	99	""
"6014544"	0	""
"6085391"	196	""
"6055899"	0	""
"6049980"	38	""
"6073718"	94	""
"6085698"	36	""
"6044138"	0	""
"6083281"	79	""
"6051969"	40	""
"6068974"	55	""
"6064747"	88	""
"6062309"	46	""
"601311"	0	""
"601312"	0	""
"601313"	0	""
"6019570"	0	""
"6019587"	0	""
"6022112"	0	""
"6045029"	0	""
"6012205"	0	""
"6086305"	0	""
"6077402"	0	""
"6048860"	0	""
"6077037"	0	""
"6014261"	0	""
"6046682"	0	""
"6022907"	0	""
"6055301"	0	""
"6086299"	40	""
"6070199"	83	""
"6054441"	123	""
"6054427"	108	""
"6054380"	42	""
"6054434"	36	""
"6054410"	226	""
"6054397"	229	""
"6054403"	57	""
"6082987"	0	""
"601330"	0	""
"6055417"	0	""
"601331"	0	""
"6053512"	0	""
"6027651"	0	""
"6027650"	0	""
"601333"	0	""
"6027667"	0	""
"6075965"	0	""
"600068"	0	""
"6010706"	0	""
"601336"	0	""
"600055"	0	""
"6076917"	0	""
"6049027"	0	""
"601338"	0	""
"6058098"	0	""
"600039"	0	""
"600075"	0	""
"6076856"	0	""
"6039653"	0	""
"601278"	0	""
"6066321"	0	""
"6066130"	0	""
"6079888"	0	""
"6080013"	0	""
"6038489"	0	""
"6027285"	0	""
"6023799"	0	""
"601328"	0	""
"6078027"	0	""
"6026899"	0	""
"6027131"	0	""
"6077846"	0	""
"6029055"	0	""
"6029056"	0	""
"6023813"	0	""
"6029012"	0	""
"6076597"	0	""
"6027322"	0	""
"6029051"	0	""
"6027162"	0	""
"6029035"	0	""
"6023942"	0	""
"6023805"	0	""
"6076214"	0	""
"6029043"	0	""
"6024451"	0	""
"6029045"	0	""
"6029054"	0	""
"6029007"	0	""
"6026844"	0	""
"6029003"	0	""
"6029038"	0	""
"6029019"	0	""
"6057299"	0	""
"6027407"	0	""
"6027100"	0	""
"6029029"	0	""
"6029026"	0	""
"601340"	0	""
"6029001"	0	""
"6049065"	0	""
"6076191"	0	""
"6053505"	0	""
"6077891"	0	""
"6029042"	0	""
"6029044"	0	""
"6045968"	0	""
"6029010"	0	""
"6029020"	0	""
"6027063"	0	""
"6029025"	0	""
"600867"	0	""
"6080716"	0	""
"6080723"	0	""
"6080730"	0	""
"6069971"	4	""
"6056902"	0	""
"6069537"	0	""
"601361"	0	""
"601360"	0	""
"6082031"	0	""
"601370"	0	""
"6065065"	0	""
"602751"	0	""
"6037871"	0	""
"6034160"	0	""
"6048594"	0	""
"6009458"	0	""
"6057923"	0	""
"6009465"	0	""
"6009335"	0	""
"6034153"	0	""
"6009403"	0	""
"6009366"	0	""
"6009311"	0	""
"6002145"	0	""
"6037925"	0	""
"6049072"	4	""
"6074814"	0	""
"6062217"	0	""
"601387"	16	""
"602519"	0	""
"6023164"	0	""
"6008413"	13	""
"6075170"	40	""
"6007713"	4	""
"6000844"	0	""
"6043643"	108	""
"6035549"	0	""
"6084684"	90	""
"6084622"	0	""
"6050672"	100	""
"6050689"	80	""
"6081867"	0	""
"6081072"	0	""
"6081621"	324	""
"6064242"	0	""
"6077488"	221	""
"6074401"	0	""
"601391"	0	""
"6053574"	0	""
"6077372"	0	""
"6071226"	0	""
"6073534"	25	""
"6077433"	35	""
"6077426"	29	""
"6077419"	18	""
"6071325"	0	""
"6071301"	0	""
"6071318"	0	""
"6084677"	240	""
"6075286"	0	""
"6075279"	0	""
"602756"	0	""
"602757"	0	""
"6008680"	0	""
"6052409"	0	""
"6052393"	122	""
"6041946"	151	""
"601395"	0	""
"601349"	0	""
"6074487"	0	""
"6080839"	0	""
